The course of maturation of rod-mediated visual thresholds in infants.	To measure the developmental course of infants' rod-mediated thresholds.
Positional uncertainty in peripheral and amblyopic vision.	Three experiments were performed to examine positional acuity and the role of spatial sampling in central, peripheral and amblyopic vision. In the first experiment, 3-line bisection acuity was compared to grating acuity. In normal foveal vision bisection acuity represents a hyperacuity. In anisometropic amblyopes, bisection acuity is reduced in rough proportion to their grating acuity. In strabismic amblyopes, and in the normal periphery, bisection acuity is reduced to a greater extent than grating acuity. This result implies that reduced contrast sensitivity of the spatial filters is not sufficient to account for the increased positional uncertainty found in peripheral vision and in strabismic amblyopia. In order to test the hypothesis that the high degree of positional uncertainty evident in these visual systems is a consequence of sparse spatial sampling, bisection thresholds and width discrimination thresholds were measured with stimuli comprised of discrete samples. The results showed that normal foveal vision and the vision of anisometropic amblyopes show little benefit from adding discrete samples to the stimulus. In contrast, the normal periphery, and the central field of strabismic amblyopes demonstrate marked positional uncertainty which can be efficiently reduced in proportion to the square root of the number of samples (up to about 10) comprising the stimulus in the direction orthogonal to the discrimination cue. In aggregate the results suggest that anisometropic and strabismic amblyopia are fundamentally different. The positional uncertainty in anisometropic amblyopia is consistent with the reduced sensitivity of the spatial filters. The data of the normal periphery and of the central field of strabismic amblyopes suggest that the cortical sampling grain imposes a fundamental limit upon their positional acuity.
Receptive field size of human motion detection units.	Receptive field sizes of motion detector units in the human visual system were determined using a summation technique. Contrast sensitivity was measured for detecting the direction of motion of a drifting (8 Hz) sinewave grating (0.01-30.0 c/deg) multiplied by a stationary Gaussian envelope, for various widths of the Gaussian envelope. For each test spatial frequency, sensitivity increased linearly with aperture width up to a certain limit, and thereafter at a rate consistent with a model incorporating probability summation over space and between channels. The limit of linear summation designates the limit of the receptive field. Results show that the receptive field size varies with spatial frequency, from 2' arc at high spatial frequencies to as large as 7 deg at low frequencies. The change in field size was progressive. The smallest aperture width (delta W) for directional discrimination was also measured. Results show delta W to vary from 0.03 cycles at low spatial frequencies to 0.30 cycles at high frequencies.
Transient tritanopia of a second kind.	Using a psychophysical method that allows the tracking of very rapid changes in sensitivity, we demonstrate an anomaly in the time-course of light adaptation for the short-wave mechanism: after the onset of a yellow (581 nm) field of approximately 10(5.3) td the threshold for short-wave targets does not recover monotonically but continues to rise for several seconds before falling to its equilibrium value. The phenomenon is absent when the adapting field has a wavelength of 511 nm and has been adjusted to give a similar equilibrium value for the short-wave threshold.
Shape recognition in amblyopia.	The results of recent investigations of supra-threshold spatial vision in amblyopia have indicated that the amblyopic eye may be more disadvantaged than acuity or contrast detection measurements have suggested. We report here on the sensitivity of the amblyopic eye when performing tasks requiring the recognition of small spatial differences in thin bright line stimuli displayed in a variety of 2-D configurations. Amblyopes were able to perform these tasks, but their amblyopic eye was generally poorer than their normal eye by a multiplicative factor. It is argued that this pattern of results indicates that spatial scrambling rather than blurring is an appropriate model for amblyopia.
Spatial information and uncertainty in anisometropic amblyopia.	Anisometropic amblyopes were found to have a reduced sensitivity for shape discrimination. The introduction of positional jitter in the elements of the display had a profound effect on the performance of the normal eye, but not on that of the amblyopic eye. On the other hand the introduction of gaussian blur affects the performance of both eyes to the same degree. We conclude that raised spatial uncertainty due to metrical scrambling is a suitable model for anisometropic amblyopia.
The role of eye movements in motion detection.	The roles of small eye movements of fixation, and of different kinds of background in motion detection were studied. Minimum detectable displacement for a luminous line oscillating either in a blank field or in the presence of three types of background was measured under two viewing conditions: normal, when eye movements generate normal movements of the image on the retina, and stabilized when these retinal image movements were nearly eliminated. It was demonstrated that eye movements enhance motion detection for a sinusoidally moving target when the target is superimposed on a patterned background; they are detrimental when there is no background. In addition, it was found that the function relating threshold amplitude to frequency of movement is band-pass when the image is stabilized or when the bar moves on a blank field, and is more low-pass when both the background and the test target are subject to the effects of eye movements.
Temporal properties of spatial contrast vision.	The temporal characteristics of spatial contrast vision at and above threshold were assessed psychophysically using sinusoidal gratings and a contrast-matching method. Temporal frequency response curves became flatter as contrast level increased. An impulse response model was fitted to these flicker data, and used to make predictions about temporal integration and two-pulse summation. The predictions fitted the experimental data well, except under conditions where the Broca-Sulzer effect occurred. The latter was not predicted by the biphasic impulse response that otherwise worked well. Temporal filtering became moderately transient and operated over a shorter time-scale as contrast increased, and above threshold temporal properties varied little with spatial frequency. The data and modelling supported the idea that subjects exploited probability summation at threshold while using a peak detection criterion above threshold. Systematic visual field asymmetries in contrast perception are also described. Single- and multiple-channel models of temporal processing are discussed.
Chronometric analysis supports fusion rather than suppression theory of binocular vision.	Suppression theory attributes the singleness of vision during binocular viewing to inconspicuous binocular rivalry. In two experiments, reaction time (RTs) for detection of a small molecular probe were measured while the eyes viewed identical ("fusion") or different (rivalry) stimuli. As expected, distributions of RTs obtained during binocular rivalry showed large positive skew, from trials in which detection was delayed because the probe was superimposed on the suppressed field. Opposite to the prediction of suppression theory, however, the RT distribution during fusion showed far less positive skew, implying that information is available from both eyes during binocular viewing, as held by fusion theory. These findings were confirmed and extended over a large range of probe luminances. During fusion, log mean RTs fell steeply as log probe luminance was increased up to a critical value, then less steeply for further increases. During rivalry, the same steep branch of the RT-luminance function appeared, but shifted as though the probe was about 0.25 log units dimmer. The second branch was also present, but steeper than for fusion, so that RTs for fusion and rivalry were the same at the highest values tested.
Detecting the displacements of spatial beats: a monocular capability.	Sensitivity to the sudden displacement (phase shift) of a single monocularly presented sinusoidal grating is increased when a static grating of similar spatial frequency is presented to the same eye. If the static grating is presented to the other eye instead sensitivity is, at best, halved. This demonstration implies that monocular and binocular visual pathways differ in their sensitivity to spatial variations of contrast. In addition it provides another example in which the monocular visual pathways are more sensitive to spatial displacements than the binocular pathways.
Moving contexts do affect the perceived direction of apparent motion in motion competition displays.	Three experiments were performed to test Ullman's [The Interpretation of Visual Motion. MIT Press, Cambridge, Mass. (1979)] independence hypothesis, used in the minimal mapping theory of motion correspondence. Subjects were required to detect the direction of motion (left vs right) of an element in a motion competition display. In control conditions, threshold interelement distances were obtained for this task in the absence of any moving context. In experimental conditions, context elements that moved either to the left or to the right were added to the display. This resulted in changes in thresholds (relative to the control condition) that indicated that a context moving in one direction increased the probability of seeing the competition element move in the same direction. The magnitude of the context effect was shown to be related to the proximity of the context to the competition display, as well as to the number of elements in the context. These results are in conflict with Ullman's independence hypothesis. An alternative model of the motion correspondence process, which uses information about interdependencies between element movements, is briefly discussed.
Spatial influences on colour opponent contributions to pattern detection.	The contribution of colour opponent mechanisms to detection thresholds is investigated at different spatial frequencies by presenting monochromatic, sinusoidal gratings on a uniform white background. Colour opponent mechanisms, characterised by a triple peaked spectral sensitivity function, determine threshold at low spatial frequencies (below 1 c/deg) and their contribution flattens the Weber function. They display low pass spatial frequency characteristics, becoming relatively more sensitive than non-opponent mechanisms as spatial frequency decreases. Colour opponent contributions are not revealed when the test grating and background are presented dichoptically.
Isolation of opponent-colour mechanisms at increment threshold.	An experimental examination was made of some paradigms designed to isolate the opponent-colour system at increment threshold. The effectiveness of a uniform white conditioning field spatially coincident with a 1.05-deg uniform test field was assessed by measuring intensity thresholds for simple detection and for colour discrimination. Values were obtained both by a method of adjustment and by a two-interval forced-choice procedure. For sufficiently high luminances of the conditioning field (3000 td or greater) little or no difference was found between simple-detection and colour-discrimination thresholds over the critical test-flash spectral range 520-620 nm, implying that the paradigm produced almost complete isolation of the opponent-colour system at increment threshold. A control experiment in which thresholds were obtained for a conditioning field larger than the test field gave less satisfactory isolation; near 580 nm the luminance system was found to be at least 0.3 log unit more sensitive than the opponent-colour system. A comparison was also made of the spatially coincident field paradigm with a paradigm in which a modified test stimulus of low temporal and spatial frequency content was presented on a large conditioning field. Test spectral sensitivity curves for simple detection obtained by a method of adjustment showed little difference in effectiveness in opponent-colour isolation.
Statistical efficiency for the detection of visual noise.	Visual detection thresholds were measured for one-dimensional static noise patterns centered at 2 c/deg on a logarithmic scale, for several widths and spatial frequency bandwidths in the presence and absence of a one-dimensional dynamic visual noise mask. Human performance was compared with the ideal observer's performance for the same task. The ideal's contrast thresholds increase with the fourth root of bandwidth. For thresholds measured in the presence and absence of noise, the fourth-root-law for bandwidth fitted the human observers' data from 1 to 6 octaves for a space constant of 2 degrees and from 2 to 6 octaves for a space constant of 0.25 degree. Detection efficiencies were quite high (30-60%) for patterns of 1- and 6-octave bandwidths. These results can be interpreted either in terms of a channel with an adjustable spatial frequency bandwidth or as very efficient combination of information between spatial frequency channels.
Saturation of the tilt aftereffect.	The tilt aftereffect increases as a logarithmic function of adapting time, reaches saturation after approx 1 hr and decays on a symmetric, logarithmic time-course. This is similar to the time-course of contrast threshold elevation, suggesting that threshold and suprathreshold aftereffects are based on similar type of adaptation processes.
Changes in visual sensitivity with age in rats with heredity retinal degeneration.	Hereditary retinal degeneration in the Royal College of Surgeons (RCS) strain of rat has been shown to produce extensive loss of photoreceptors and a corresponding decline of the electroretinogram, ganglion cell sensitivity, and the sensitivity of the pupillary light reflex. The behaviorally measured thresholds of RCS rats, on the other hand, are reported to be comparable to those for age-matched controls. We report here, that our own behavioral measurements show a clear difference between RCS rats and age-matched controls between four to twelve months of age. The difference in thresholds between RCS and control rats is about three long units at four months of age, and this difference progressively increases until at twelve months, we measure threshold differences of over seven log units.
Direction-specific improvement in motion discrimination.	With training, an observer's ability to discriminate similar directions of motion gradually improves. A series of studies reveals that this improvement, (1) is restricted to the trained direction and other, similar directions, (2) persists for at least several months, (4) shows appreciable, but not complete, transfer between the two eyes, and (5) is largely restricted to the stimulated region of the field. Moreover, the improvement in direction discrimination does not produce a concomitant change in detection thresholds. In all likelihood, most of the improvement in direction discrimination represents a change in visual function, rather than changes in nonsensory processes.
Sensitivity of smooth eye movement to small differences in target velocity.	The precision of smooth pursuit eye movements was described by means of a new dependent measure, the "oculomotor difference threshold" (analogous to the perceptual difference threshold) which represents the smallest difference in target velocity that produces statistically distinguishable differences in eye velocity. Oculomotor difference thresholds for constant velocity motions were largest (greater than 50% of target velocity) during the initial 200 msec of target motion, despite fairly high average gains (0.7-1.4) during the same period. Oculomotor difference thresholds declined over time. By about 600-700 msec after the onset of target motion they reached values as low as the perceptual difference thresholds measured psychophysically with the same target velocities. The similarity of the difference thresholds suggests that equally precise sensory representations of target velocity influenced perception and smooth eye movements. Nonsensory influences on smooth eye movement were also found. Smooth pursuit velocity: (1) depended on the velocity of targets in preceding trials; (2) was decreased during the initial 200 msec of target motion when the duration of motion was reduced from 1 sec to 200 msec, a result which shows that high initial pursuit velocity depends on the expectation that pursuit will continue. These effects of context and expected duration allowed the eye to achieve quickly a velocity close to that of the target it was most likely to encounter. Study of the precision of pursuit may be valuable for characterizing its sensory input, but study of the effects of the context in which a stimulus appears and the effects of expectations about future target motion may be more valuable for understanding how smooth eye movements guarantee retinal image velocities optimal for vision.
Rod-cone interaction in patients with fundus flavimaculatus.	Dark adaptation and the rise of cone flicker threshold (25 Hz) during dark adaptation were measured psychophysically in three patients with fundus flavimaculatus. The dark adaptation curve showed a delayed rod-cone break but a normal final rod threshold in all these patients. However, the rise of cone flicker threshold during dark adaptation was not delayed and also reached a normal final value. This indicates that the delay in rod dark adaptation does not influence the rise of cone flicker threshold during dark adaptation. This finding contrasts with current concepts that the rise of the cone flicker threshold reflects an increasing inhibitory influence of dark adapting rods.
Contrast sensitivity, acuity, and the perception of 'real-world' targets.	A major assumption underlying the use of contrast sensitivity testing is that it predicts whether a patient has difficulty seeing objects encountered in everyday life. However, there has been no large-scale attempt to examine whether this putative relationship actually exists. We have examined this assumption using a clinic based sample of adults aged 20-77 years. Contrast thresholds were measured for both: (1) gratings of 0.5-22.8 cycles/degree; and (2) real-world targets (faces, road signs, objects). Multiple regression techniques indicated that the best predictors of thresholds for real-world targets were age and middle to low spatial frequencies. Models incorporating these variables accounted for 25-40% of the variance. Although acuity significantly correlated with thresholds for real-world targets, the inclusion of acuity as a predictor variable did not improve the model. These data provide direct evidence that spatial contrast sensitivity can effectively predict how well patients see targets typical of everyday life.
Phase coherence in vibration-induced responses of tactile fibres associated with Pacinian corpuscle receptors in the cat.	1. In pentobarbitone-anaesthetized cats, responses were recorded in peripheral nerves or cervical dorsal columns from sensory fibres associated with Pacinian corpuscle (P.c.) receptors in the forelimb footpads. Factors affecting the phase of response to cutaneous vibration in individual P.c. fibres, and the extent of phase coherence in the responses of different P.c. fibres were examined when sinusoidal vibratory stimuli at 100-400 Hz were delivered using a 1 mm diameter probe. 2. Increases in vibration amplitude from the absolute to the 1:1 threshold for the P.c. fibre led to phase advances in the response, often of about 60 deg, in over 85% of fibres tested at 200 and 300 Hz, but further increases had little effect. 3. Variations in stimulus position within the receptive field led to unpredictable changes in the response phase that ranged from minimal change to shifts of 180 deg. As the response phase was unrelated to the distance from the point of peak sensitivity it is likely that at high vibration frequencies (greater than or equal to 100 Hz) the recruited population of P.c. fibres will respond over the whole range of phase angles. 4. The calculated phase of spike initiation in different pairs of P.c. fibres that shared coincident points of best sensitivity on the skin ranged from near synchrony to maximum asynchrony indicating that there is little phase coherence even in the subpopulation of somatotopically related P.c. fibres recruited by high-frequency cutaneous vibration. 5. Paired recordings from P.c. fibres within the cervical dorsal columns revealed a broad range of phase discrepancies in the responses of P.c. fibres to vibration at 200 and 300 Hz. 6. Several hypotheses are considered to explain the known presence of phase-locked responses to high-frequency (greater than or equal to 100 Hz) vibration in the central neurones of dorsal column nuclei.
Integrative processing of vibratory information in cat dorsal column nuclei neurones driven by identified sensory fibres.	1. In decerebrate or anaesthetized cats, the vibration-induced responses of dorsal column nuclei neurones were examined, first, when their input came from simultaneously recorded pairs or other combinations of identified Pacinian corpuscle (P.c.) afferent fibres of the interosseous nerve, and secondly, when different convergent sets of P.c. fibres were engaged by footpad vibration. 2. Suprathreshold actions were observed on individual dorsal column nuclei neurones from two or more identified P.c. fibres. Recruitment of these convergent fibres usually led to summation in the dorsal column nuclei neurone as reflected in higher response levels compared with those evoked by single-fibre inputs. 3. When the input was increased from one to two or more identified P.c. fibres the dorsal column nuclei neurones could retain a single, dominant phase of response to high-frequency (greater than 100 Hz) vibration even though these fibres, in isolation, evoked responses in the target neurone at substantially different latencies. However, on average, phase locking was significantly tighter in response to single-fibre input than to multiple P.c.-fibre input. 4. Dorsal column nuclei neurones were also able to retain phase-locked responses to high-frequency vibration when phase differences between different convergent inputs were systematically introduced to alter the degree of synchrony in the activity arriving over convergent, identified P.c. fibres. 5. When the input to dorsal column nuclei neurones came from the skin it was found that with the recruitment of two converging sets of P.c. fibres the dorsal column nuclei neurones were able to retain phase-locked responses to high-frequency vibration even when phase shifts were introduced between the two sets of P.c. inputs. 6. In conclusion, the observed integrative processing by dorsal column nuclei neurones of vibration-induced inputs arriving over identified, convergent P.c. fibres, or sets of P.c. fibres, is consistent with our hypothesis that the retention of phase-locked responses to vibration at frequencies greater than or equal to 100 Hz may reflect the functional domination of the target neurone by just one or a few of its convergent input fibres.
The effect of spatial frequency on steady-state accommodation.	Accommodation responses to sinusoidally modulated vertical gratings, at a vergence of -5.0 D, were measured over a 10 min period. Three spatial frequencies were employed: 1.67, 5.0 and 15 cycles degree-1. The results show that 1.67 and 5.0 cycles degree-1 elicit good accommodation responses which are temporally stable. All five subjects employed were unable to maintain an accurate accommodation response to a 15 cycles degree-1 grating. Consideration of the changes occurring in the retinal modulation with accommodative error indicates that spatial frequencies around 5.0 cycles degree-1 are the most useful for accommodation.
Effect of defocus on visual field measurement.	Defocus increased visual field contrast thresholds for stimuli equal to or smaller than Goldmann perimeter target III (26 min arc diameter). Beyond 30 degrees-40 degrees from the centre of the visual field, defocus had little effect on contrast thresholds. For accurate clinical perimetry, ametropia and presbyopia should be corrected for small targets (less than or equal to target III) within 30 degrees-40 degrees of fixation with either a spectacle lens (if required power less than +/- 10 D) or a contact lens. Larger stimuli are little affected by defocus. Outside this central 30 degrees-40 degrees field, correction with contact lenses should be provided if fixation is poor due to ametropia. Scotomata for which no cause is evident should be further investigated to find whether they have a refractive basis.
Object-motion detection affected by concurrent self-motion perception: applied aspects for vehicle guidance.	Thresholds and response times for object-motion detection are significantly raised during concurrent real or visually induced self-motion perception. This was demonstrated by standardized laboratory experiments in which subjects had to react to a suprathreshold visual stimulus (1 degree-light spot moving with 5 degrees/s speed) under different stimulus conditions of simultaneously perceived self-motion. Elevated response times (mean elevation factor: 3.27) were also obtained for the detection of changes in inter-vehicle distance (headway) under real road conditions with the simultaneous involvement of self- and object-motion perception compared to a corresponding (object-motion perception) simulation in the laboratory without any self-motion. With regard to vehicle guidance, existing concepts of safe stopping distances, which depend upon adequate detection of a collision course and the corresponding reaction times, have to be recalculated.
Assessment of techniques for measuring contrast sensitivity in children.	Contrast sensitivity was measured in 10 children aged from 3 to 11 years using 4 psychophysical techniques in order to establish the best method of measurement for clinical use. Of the four methods, staircase, ascending continuous, modified Von Bekesy and two-alternate forced-choice, the staircase was selected as the most appropriate clinical technique and monocular contrast sensitivity functions of normal children were measured.
Electrocutaneous sensitivity: effects of skin temperature.	The effect of human skin temperature on electrocutaneous sensitivity was examined using brief capacitive discharges. Stimuli were designed to ensure that sensory effects would be independent of skin resistance and would reflect underlying neural excitability as closely as possible. Skin temperature was manipulated by immersing the forearm in circulating hot or cold air. Detection thresholds on the arm and fingertip were raised by cooling, but were not altered by heating. Temperature-related sensitivity shifts were described by the same multiplicative factors for both threshold and suprathreshold levels. The temperature coefficient (Q10) for cutaneous sensitivity under these conditions was approximately 1.3.
Scotopic sensitivity of the two-month-old human infant.	The 2-month-old human infant is known to be less visually sensitive than the adult by a factor of 50, if sensitivity is measured by the threshold for detecting a test light in the dark. In the present experiment, visual sensitivity of infants and adults did not differ significantly when sensitivity was measured by the ability of an adapting light to elevate test threshold. This result suggests that the infants' insensitivity to test flashes is due to immaturities proximal to the site of light adaptation, while the more distal stages of visual processing, including the adaptation process itself, are relatively mature at that age.
Stimulation of rods can increase cone flicker ERGs in man.	Recent psychophysical studies in man and electrophysiological studies in lower vertebrates show that dark adapted, unstimulated rods inhibit cone mediated flicker. This investigation uses comparable psychophysical and ERG procedures in man to demonstrate rod-cone interaction of this type. With either procedure the rod cone interaction cannot be demonstrated with Ganzfeld stimulation. A single small, red, flickering test field, which is a common psychophysical stimulus for testing rod-cone interaction, elicits an immeasurably small cone ERG. But an array of many such targets, flickering synchronously, is an effective psychophysical stimulus and produces an ERG with larger cone than rod components. With such an array, it can be shown that a steady, rod-stimulating background selectively enhances cone ERG components.
Local and global visual processing.	The fundamental sinusoidal components of a chequerboard pattern are oriented at 45 degrees to the orientation of the chequerboard edges. Removal of one of the fundamental sinusoids (at +45 degrees) creates a useful pattern for studying the mechanisms of visual analysis. Close up, the pattern appears to be oriented +45 degrees, although there is no global energy at that orientation, implying local analysis. At a distance, the perceived diagonality switches to -45 degrees implying access to global information. Measurements show that contrast thresholds for seeing diagonality at +45 degrees follow closely those for detecting the 5th harmonic component of the pattern, over a wide range of spatial frequencies and luminances. Low pass filtering also causes the pattern to be perceived according to its global energy, provided that the cutoff frequency is set to remove the fifth harmonic. We conclude that, at least for this particular stimulus, the visual system performs a local analysis if the fifth harmonic is visible and a global analysis if not.
Induced desensitization.	Viewing of annuli modulated in color in a sawtooth fashion in time results in differential threshold elevations for the detection of color changes of inscribed disks. The elevations are of nearly the same magnitude as those resulting from viewing modulated disks. However, the differential effects on thresholds for complimentary colors are reversed. The differential effects, thus, are correlated with the variation in appearance of the test area.
Background adaptation in human infants.	Human infants' thresholds for detecting 10 degrees diameter 50 and 1000 msec stimuli in the dark adapted condition and in the presence of steady red backgrounds were determined using a preferential looking method. Dark adapted sensitivity and the slope of the linear portion of the increment threshold function increased with age. The slope was 0.5 at 4 weeks, but by 10 weeks it was not different from the adult value (approximately 1.0). At all ages the eigengrau was approximately the same as that of adults (-2.3 log scot. td). These results suggest that visual mechanisms involved in detection of flashes and adaptation to steady background lights mature postnatally.
Contrast and phase processing in amblyopia.	Contrast-coding was investigated in amblyopic, fellow non-amblyopic and control eyes. Using a contrast-matching paradigm similar to Georgeson and Sullivan [J. Physiol. 252, 627-656 (1975)], amblyopic eyes were found to have a high frequency contrast-coding deficit not only at threshold but also at suprathreshold levels up to at least 0.45 contrast. The results do not support the claim of Hess and Bradley [Nature 287, 463-464 (1980)] and Hess, Bradley and Piotrowski [Proc. R. Soc. Lond. B217, 309-330 (1983)] that amblyopes have normal or near-to-normal suprathreshold contrast-coding. By taking this contrast-coding deficit into account we demonstrate that previously reported poor phase discrimination [Lawden, Hess and Campbell, Vision Res. 22, 1005-1016 (1982); Pass and Levi, Invest. Ophthal. Visual Sci. 23, 780-786 (1984)] in amblyopia may, in part, reflect a more basic deficit in contrast-coding across spatial frequencies. The possible involvement of contrast processing mechanisms in phase discrimination is discussed.
Spatial resolution of the Galago.	The spatial vision of two adult galagos (Galago crassicaudatus) was assessed using a two choice discrimination task to determine their contrast sensitivity. Both contrast sensitivity functions exhibited low and high spatial frequency attenuation with the peak sensitivity at 1%. For one animal, the peak occurred at 0.5 c/deg and the extrapolated cutoff frequency was 2.6 c/deg; for the other, the peak was 1 c/deg and the cutoff was 4.3 c/deg. For this animal, grating acuity was also tested and, depending upon definition of threshold, yielded threshold estimates from 4.8 to 6.0 c/deg. The data supports the conclusion that the spatial vision of the galago and the cat is quite similar, a congruence that presumably reflects their adaptation to a nocturnal niche, rather than their divergent phylogenetic origins.
Irradiation: implications for theories of edge localization.	In a vernier alignment task, observers judged the relative positions of two blurred edges placed one above the other. If the two edges were given the same blur width and contrast polarity, their relative positions were perceived veridically. If the two edges were given different blur widths or opposite contrast polarities, reliable errors in perceived position were revealed, as if each edge were shifted into its dark phase by an amount proportional to its blur. The magnitude of shift varied from zero for sharply defined edges, to over 1 min arc for blurred edges. These illusory shifts in position are consistent with the well-known phenomenon of "irradiation". Implications for current models of edge localization are discussed.
Rod influence on cone flicker detection: variation with retinal eccentricity.	Previous studies have shown that cone flicker thresholds are influenced by the adaptation state of the rod system. We have examined how the properties of this rod-cone flicker interaction differ with retinal eccentricity. The threshold for detecting 25 Hz flicker was measured in the dark-adapted eye, against a rod-saturating Ganzfeld background and following a Ganzfeld bleach. The magnitude of the interaction, defined as the difference between light- and dark-adapted flicker thresholds, covaries with changes in rod absolute threshold across the visual field. At a given eccentricity, the magnitude of the interaction is constant for test diameters ranging from 7' to 1.7 degrees, indicating that variations in magnitude with eccentricity do not result from changes in spatial summation properties. The measurement of cone flicker thresholds during bleaching recovery provides evidence that variations in the magnitude of the rod-cone flicker interaction with retinal eccentricity may result from differences in the channel capacity of the pathway carrying the threshold-elevating signal from rods.
Temporal properties of brightness and color induction.	With a matching procedure, we studied the temporal properties of direct brightness (or lightness) and chromatic changes (produced by modulation of the region being matched) and induced brightness and chromatic changes (produced by modulation of the surround of the region being matched). The amount of direct brightness and color change was found to vary only slightly with temporal frequency over the 0.5-8 Hz range studied, whereas induced changes were found to occur only at low temporal frequencies, below about 2.5 Hz. With high temporal-frequency modulation of the surround, the induced patterns appeared to flicker but not to change in brightness or color. Despite the fact that chrominance and luminance temporal contrast sensitivity functions are very different, the temporal induction curves for color and brightness were very similar. However, brightness induction was found to increase approximately linearly with increasing surround modulation up to very high levels, whereas the amount of color induction was much less dependent on the modulation depth of the surround.
A comparison of contrast detection and discrimination.	In order to complement previous studies of contrast detection, we have examined the effects of three stimulus variables (spatial frequency, retinal illuminance, retinal locus) and one visual disorder (amblyopia) on contrast discrimination. Although each factor has a profound effect on the detection of gratings on otherwise unpatterned displays, we find a similar dipper-shaped contrast discrimination function and similar supra-threshold Weber fractions for contrast under all these conditions.
Comparative evaluation of the effectiveness of different shapes of defibrillating pulses]	Experiments in dogs were performed to investigate the defibrillation efficacy of the trapezoidal impulses with ascending and descending slope, the rectangular impulses, and the sinusoidal impulses. The lowest threshold values for current strength, energy and charge were observed when defibrillating the heart by means of rectangular impulses and especially by trapezoidal impulses with ascending slope. Classical strength-duration curves for trapezoidal impulse with ascending slope were recorded. As a result, the suggested duration of the trapezoidal defibrillating impulse to be used is between 4 and 9 ms.
Visual-optical assessment of the threshold values of the distortion of observational objects due to lens defects in the flat window glass of the cockpits of transport vehicles]	It has been shown experimentally that the threshold values of optical distortions of test objects projected by a collimator during binocular observation through the lens defects of vehicle transparencies depend on their dioptric value and sign, distance between the observer's eyes and the transparencies as well as on the angle of those latter. The experimentally derived dependences can be used to standardize optical parameters of vehicle transparencies.
Comparison of membrane electrical activity of cat gastric submucosal arterioles and venules.	Intracellular electrical recordings were made from arterioles and venules of the cat gastric submucosa. Spontaneous rhythmic fluctuations of the membrane potential were recorded in 54% of the venular preparations. Arteriolar cells showed no spontaneous activity. Excitatory junction potentials were recorded in arterioles but not venules after single shocks to the perivascular nerves. The amplitude of the excitatory junction potential was decreased in the presence of alpha-blockers. Repetitive stimulation of the perivascular nerve caused a biphasic electrical response of venular smooth muscle cells. The depolarizing component was decreased by alpha-adrenergic blockade and the hyperpolarizing component by beta-blockade. Venules contracted in response to smaller depolarizations than did arterioles. The voltage threshold for contraction of venular cells was similar to that for arteriolar cells but the venular cells were significantly more depolarized at rest than were the arteriolar cells. The difference in resting potential provides an explanation for the difference in sensitivity to electrical input.
Sensitivity to stationary flashing spots of the brisk classes of ganglion cells in the cat retina.	The responses of brisk-sustained (X) and brisk-transient (Y) cat retinal ganglion cells to small stationary spots flashing on and off in their receptive fields were recorded. Response magnitudes were determined as the amplitude of the fundamental frequency component. At 0.5 and 8 Hz the sensitivity of brisk-sustained cells is independent of the size of their receptive field centre, with the mean sensitivity at 0.5 Hz being 16% lower than at 8 Hz. At 8 Hz the sensitivity of brisk-transient cells is inversely proportional to the centre diameter of their receptive fields. The relationship is quite different from that found in brisk-sustained cells. The ratio of the sensitivity at 0.5 Hz to the sensitivity at 8 Hz can be used as a measure of the 'sustainedness' of a ganglion cell. Using this measure brisk-sustained cells show no change in their sustained nature as a function of eccentricity. In contrast, brisk-transient cells appear to become increasingly transient with eccentricity. Within the area centralis the sensitivities of brisk-transient cells at 0.5 and 8 Hz are very similar to the sensitivities of brisk-sustained cells, and hence they have a very obvious sustained component to a light flashed on and off at low frequency. These brisk-transient units meet all other criteria of their class and so there can be no question as to their classification.
Spatial frequency and the pattern onset-offset response.	Visually evoked responses (VERs) were recorded with vertical sinusoidal gratings presented in the on-off mode at rates of 0.5 and 1 Hz. Stimulus spatial frequency ranged from 0.5 to 16 c/deg and its contrast varied from near-threshold to the value of 0.3. At low spatial frequencies, 0.5 and 1 c/deg, the onset and offset VERs were of similar shape, magnitude and contrast dependence. At spatial frequencies higher than 2 c/deg the onset VERs were usually larger and persisted at lower contrast levels than the offset VERs. The results are consistent with the hypothesis that a gradual transition from the operation of transient channels to the operation of sustained channels takes place on increasing stimulus spatial frequency and that within a wide spatial frequency range (at least from 2 to 8 c/deg) suprathreshold gratings effectively stimulate both types of channels. It is confirmed that both onset and offset VERs are delayed at high spatial frequencies. In addition, a longer delay of the late onset waves was found in comparison with the delay of the early onset waves.
Mechanisms of visual sensitivity: backgrounds and early dark adaptation.	There is substantial physiological and psychophysical evidence for an adaptation mechanism whose effect, under many circumstances, is equivalent to placing a neutral density filter in front of the eye. Furthermore, this mechanism is of sufficient strength to predict the generalized Weber's law for increment thresholds on steady backgrounds. However, it was shown that an additional transient mechanism (with a time-course of around 100 msec) is also needed to account for the increment-threshold results. The effect of this mechanism on increment thresholds during early dark adaptation was parametrically examined. Several models for the transient mechanism were considered. The one best able to account for the results consists of a subtractive inhibitory stage operating prior to a saturating nonlinearity.
Short-wavelength cones contribute to achromatic sensitivity.	Visual thresholds for flicker detection and light detection were measured for white and yellow flickering targets superposed on a white adapting field. The flicker frequency was set so that flicker detection thresholds always exceeded the light detection thresholds. The difference between the two types of thresholds was found to be smaller for yellow targets than for white targets. The most likely explanation of this result is that short-wavelength cones contribute to achromatic sensitivity at low temperal frequencies.
